|                                                     |           ncount |           mae |          rmse |         rsq |
|:----------------------------------------------------|-----------------:|--------------:|--------------:|------------:|
| ('*ALL', 'Unweighted', 'Energy')                    |   4657           |    0.401474   |    1.13591    |  0.894014   |
| ('*ALL', 'Unweighted', 'Force')                     |      2.06962e+06 |    1.08827    |    2.74556    | -0.370057   |
| ('*ALL', 'Weighted', 'Energy')                      |   4657           |  378.919      | 1316.16       |  0.99972    |
| ('*ALL', 'Weighted', 'Force')                       |      2.06962e+06 |   25.0968     |   65.5873     |  0.114063   |
| ('active', 'Unweighted', 'Energy')                  |     96           |    0.546057   |    1.06886    | -0.963886   |
| ('active', 'Unweighted', 'Force')                   |  54189           |    3.52774    |   10.3986     | -2.31097    |
| ('active', 'Weighted', 'Energy')                    |     96           |    5.79897    |   11.351      | -0.963886   |
| ('active', 'Weighted', 'Force')                     |  54189           |    0.156063   |    0.477586   | -2.34727    |
| ('aimd_300K', 'Unweighted', 'Energy')               |   1216           |    0.0782709  |    0.119908   |  0.870142   |
| ('aimd_300K', 'Unweighted', 'Force')                | 619770           |    0.618388   |    1.264      | -2.64015    |
| ('aimd_300K', 'Weighted', 'Energy')                 |   1216           |    0.105373   |    0.161427   |  0.870142   |
| ('aimd_300K', 'Weighted', 'Force')                  | 619770           |    0.00278912 |    0.00596587 | -2.13585    |
| ('aimd_high_T', 'Unweighted', 'Energy')             |   1922           |    0.385114   |    1.24392    | -0.138767   |
| ('aimd_high_T', 'Unweighted', 'Force')              |      1.26118e+06 |    1.1204     |    1.97323    |  0.172507   |
| ('aimd_high_T', 'Weighted', 'Energy')               |   1922           |    1.16478    |    3.76226    | -0.138767   |
| ('aimd_high_T', 'Weighted', 'Force')                |      1.26118e+06 |   40.609      |   82.1538     |  0.128043   |
| ('dft', 'Unweighted', 'Energy')                     |    425           |    0.0342978  |    0.0647254  |  0.99995    |
| ('dft', 'Unweighted', 'Force')                      |  15789           |    0.0425781  |    0.265447   |  0.245078   |
| ('dft', 'Weighted', 'Energy')                       |    425           |  852.579      | 1608.95       |  0.99995    |
| ('dft', 'Weighted', 'Force')                        |  15789           |    0.0126044  |    0.101492   | -0.727154   |
| ('liquid', 'Unweighted', 'Energy')                  |    150           |    0.438568   |    0.449017   | -0.00375066 |
| ('liquid', 'Unweighted', 'Force')                   |  86400           |    2.25355    |    3.15301    | -0.882991   |
| ('liquid', 'Weighted', 'Energy')                    |    150           |    6.95457    |    7.12027    | -0.00375066 |
| ('liquid', 'Weighted', 'Force')                     |  86400           |    2.98487    |    4.17624    | -0.882991   |
| ('surfaces_and_interfaces', 'Unweighted', 'Energy') |     27           |    0.123888   |    0.160458   |  0.799815   |
| ('surfaces_and_interfaces', 'Unweighted', 'Force')  |   4404           |    0.274001   |    0.69749    | -0.127541   |
| ('surfaces_and_interfaces', 'Weighted', 'Energy')   |     27           |    5.27614    |    6.83361    |  0.799815   |
| ('surfaces_and_interfaces', 'Weighted', 'Force')    |   4404           |  103.855      |  297.333      | -0.35974    |
| ('uspex', 'Unweighted', 'Energy')                   |    821           |    1.094      |    1.87131    |  0.77462    |
| ('uspex', 'Unweighted', 'Force')                    |  27894           |    2.44782    |   10.3334     | -0.00913107 |
| ('uspex', 'Weighted', 'Energy')                     |    821           | 1703.01       | 2913.06       |  0.77462    |
| ('uspex', 'Weighted', 'Force')                      |  27894           |    0.00526783 |    0.0268869  |  0.0292049  |
